O*NET-SOC Code,Alternate Title,Short Title,Source(s)
27-2022.00,Coach,missing,"02,04,08,10"
27-2022.00,College Basketball Coach,missing,08
27-2022.00,College Coach,missing,09
27-2022.00,College Football Coach,missing,"02,09"
27-2022.00,Cross Country Coach,missing,"02,10"
27-2022.00,Diving Instructor,missing,09
27-2022.00,Equestrian Trainer,missing,"02,09"
27-2022.00,Field Hockey Coach,missing,02
27-2022.00,Fitness Coach,missing,10
27-2022.00,Football Coach,missing,"02,04,06,10"
27-2022.00,Golf Coach,missing,02
27-2022.00,Golf Instructor,missing,09
27-2022.00,Golf Teacher,missing,"04,06"
27-2022.00,Gymnasium Teacher,missing,"04,06"
27-2022.00,Gymnastics Coach,missing,"02,09"
27-2022.00,Gymnastics Teacher,missing,"02,09"
27-2022.00,High School Coach,missing,10
27-2022.00,High School Football Coach,missing,09
27-2022.00,Hockey Scout,missing,"04,06"
27-2022.00,Ice Skating Coach,missing,04
27-2022.00,Ice Skating Teacher,missing,"04,06"
27-2022.00,Judo Teacher,missing,"04,06"
27-2022.00,Karate Instructor,missing,09
27-2022.00,Karate Teacher,missing,"04,06"
27-2022.00,Lacrosse Coach,missing,"02,10"
27-2022.00,Martial Arts Instructor,missing,09
27-2022.00,Men's Basketball Coach,missing,02
27-2022.00,Middle School Coach,missing,10
27-2022.00,Professional Athletes Coach,missing,08
27-2022.00,Professional Sports Scout,missing,08
27-2022.00,Recruiting Coordinator,missing,02
27-2022.00,Riding Coach,missing,"02,04"
27-2022.00,Riding Instructor,missing,"02,09"
27-2022.00,Riding Teacher,missing,"04,06"
27-2022.00,Ski Coach,missing,04
27-2022.00,Ski Instructor,missing,09
27-2022.00,Skiing Teacher,missing,"04,06"
27-2022.00,Skin Diving Teacher,missing,"04,06"
27-2022.00,Soccer Coach,missing,"02,09,10"
27-2022.00,Softball Coach,missing,02
27-2022.00,Sports Recruiter,missing,08
27-2022.00,Sports Teacher,missing,"04,06"
27-2022.00,Strength and Conditioning Coach,missing,09
27-2022.00,Swim Coach,missing,"02,09,10"
27-2022.00,Swim Instructor,missing,09
27-2022.00,Swimming Instructor,missing,09
27-2022.00,Swimming Teacher,missing,"04,06"
27-2022.00,Tennis Coach,missing,"02,04,06,10"
27-2022.00,Tennis Instructor,missing,"04,09"
27-2022.00,Track and Field Coach,missing,"02,10"
27-2022.00,Track Coach,missing,"02,10"
27-2022.00,Volleyball Coach,missing,"02,10"
27-2022.00,Wellness Coach,missing,10
27-2022.00,Wrestling Coach,missing,10
27-2022.00,Youth Soccer Coach,missing,10
27-2023.00,Athletic Events Scorer,missing,"04,06"
27-2023.00,Baseball Umpire,missing,"02,04,06"
27-2023.00,Basketball Manager,missing,10
27-2023.00,Basketball Referee,missing,"02,10"
27-2023.00,Basketball Scorekeeper,missing,10
27-2023.00,Clerk of Scales,missing,"04,06"
27-2023.00,Clocker,missing,08
27-2023.00,Dance Critic,missing,09
27-2023.00,Diving Judge,missing,"02,04"
27-2023.00,Dressage Judge,missing,"02,04"
27-2023.00,Equestrian Events Judge,missing,"02,04"
27-2023.00,Flag Football Referee,missing,10
27-2023.00,Football Referee,missing,02
27-2023.00,Handicapper,missing,"04,06,08"
27-2023.00,Harness Racing Handicapper,missing,08
27-2023.00,Hoof and Shoe Inspector,missing,08
27-2023.00,Horse Identifier,missing,08
27-2023.00,Horse Race Starter,missing,08
27-2023.00,Horse Race Timer,missing,08
27-2023.00,Horse Show Judge,missing,"02,04"
27-2023.00,Intramural Sports Official,missing,10
27-2023.00,League Coordinator,missing,10
27-2023.00,Major League Baseball Umpire (MLB Umpire),MLB Umpire,02
27-2023.00,Marshal,missing,08
27-2023.00,Paddock Judge,missing,"04,06,08"
27-2023.00,Patrol Judge,missing,08
27-2023.00,Pit Steward,missing,"04,06,08"
27-2023.00,Placing Judge,missing,"04,06"
27-2023.00,Presiding Steward,missing,"04,06"
27-2023.00,Race Starter,missing,"04,06"
27-2023.00,Racetrack Steward,missing,08
27-2023.00,Racing Secretary,missing,"04,06,08"
27-2023.00,Referee,missing,"02,04,06,10"
27-2023.00,Scoreboard Operator,missing,08
27-2023.00,Scorekeeper,missing,10
27-2023.00,Scorer,missing,08
27-2023.00,Soccer Official,missing,10
27-2023.00,Soccer Referee,missing,"02,10"
27-2023.00,Softball Umpire,missing,02
27-2023.00,Sports Activities Foul Judge,missing,"04,06"
27-2023.00,Sports Official,missing,"02,10"
27-2023.00,Starter,missing,08
27-2023.00,State Referee,missing,10
27-2023.00,Stewardess,missing,04
27-2023.00,Test Scorer,missing,10
27-2023.00,Ultimate Hoops Referee,missing,10
27-2023.00,Umpire,missing,"02,04,06,08"
27-2023.00,Volleyball Official,missing,10
27-2023.00,Volleyball Referee,missing,10
27-2023.00,Youth Soccer Referee,missing,10
27-2023.00,Youth Sports Official,missing,10
27-2031.00,Acrobatic Dancer,missing,"04,06"
27-2031.00,Ballerina,missing,"02,04,09"
27-2031.00,Ballet Company Member,missing,"02,04"
27-2031.00,Ballet Dancer,missing,"02,04,06"
27-2031.00,Ballet Soloist,missing,"02,04"
27-2031.00,Belly Dancer,missing,"02,09"
27-2031.00,Burlesque Dancer,missing,04
27-2031.00,Company Dancer,missing,02
27-2031.00,Dance Artist,missing,"02,04"
27-2031.00,Dance Performer,missing,"04,06"
27-2031.00,Dancer,missing,"02,04,10"
27-2031.00,Discotheque Dancer,missing,"04,06"
27-2031.00,Entertainment Dancer,missing,10
27-2031.00,Exotic Dancer,missing,"04,08"
27-2031.00,Go-Go Dancer,missing,"04,06"
27-2031.00,Hip Hop Artist,missing,09
27-2031.00,Hip Hop Dance Instructor,missing,10
27-2031.00,Hip Hop Dancer,missing,09
27-2031.00,Latin Dancer,missing,02
27-2031.00,Line Dancer,missing,"04,06"
27-2031.00,Performing Artist,missing,02
27-2031.00,Precision Dancer,missing,"04,06"
27-2031.00,Soft Shoe Dancer,missing,"04,06"
27-2031.00,Soloist Dancer,missing,02
27-2031.00,Tap Dancer,missing,"04,06"
27-2032.00,Ballet Director,missing,02
27-2032.00,Choreographer,missing,"02,04,10"
27-2032.00,Choreography Director,missing,10
27-2032.00,Dance Choreographer,missing,10
27-2032.00,Dance Director,missing,"02,04,06"
27-2032.00,Dance Instructor,missing,10
27-2032.00,Dance Maker,missing,02
27-2032.00,Dance Master,missing,04
27-2032.00,Dancing Master,missing,"04,06"
27-2032.00,Musical Choreographer,missing,"02,10"
27-2032.00,Opera Choreographer,missing,02
27-2032.00,Teaching Choreographer,missing,10
27-2041.00,Arranger,missing,"02,08"
27-2041.00,Artistic Director,missing,"02,08"
27-2041.00,Band Director,missing,"02,08,10"
27-2041.00,Band Leader,missing,08
27-2041.00,Band Master,missing,08
27-2041.00,Children's Choir Director,missing,08
27-2041.00,Choir Director,missing,"02,04"
27-2041.00,Choir Leader,missing,08
27-2041.00,Choirmaster,missing,"02,04,08"
27-2041.00,Choral Activities Director,missing,10
27-2041.00,Choral Director,missing,"02,08"
27-2041.00,Chorus Master,missing,"04,08"
27-2041.00,Composer,missing,"02,04"
27-2041.00,Conceptor,missing,08
27-2041.00,Conductor,missing,02
27-2041.00,Digital Composer,missing,08
27-2041.00,Film Composer,missing,02
27-2041.00,Handbell Choir Director,missing,"02,08"
27-2041.00,High School Band Director,missing,10
27-2041.00,Jingle Writer,missing,"02,08"
27-2041.00,Liturgical Music Director,missing,02
27-2041.00,Maestro,missing,"04,08"
27-2041.00,Marching Band Director,missing,10
27-2041.00,Middle School Band Director,missing,10
27-2041.00,Music Adapter,missing,"04,08"
27-2041.00,Music Arranger,missing,"02,04,08"
27-2041.00,Music Arts Director,missing,10
27-2041.00,Music Composer,missing,02
27-2041.00,Music Director,missing,"02,04"
27-2041.00,Music Manager,missing,08
27-2041.00,Music Minister,missing,"02,04,08,10"
27-2041.00,Music Ministries Director,missing,"02,08"
27-2041.00,Music Orchestrator,missing,08
27-2041.00,Music Pastor,missing,"02,04,08"
27-2041.00,Music Producer,missing,02
27-2041.00,Music Supervisor,missing,08
27-2041.00,Music Writer,missing,08
27-2041.00,Musical Director,missing,10
27-2041.00,Orchestra Conductor,missing,"04,08"
27-2041.00,Orchestra Director,missing,"02,04"
27-2041.00,Orchestra Leader,missing,08
27-2041.00,Orchestrator,missing,"02,04,08"
27-2041.00,Score Composer,missing,08
27-2041.00,Songwriter,missing,"02,04,08"
27-2042.00,Accompanist,missing,"04,08"
27-2042.00,Bandperson,missing,08
27-2042.00,Baritone,missing,"04,08"
27-2042.00,Bass Player,missing,10
27-2042.00,Bassoonist,missing,"02,04,08"
27-2042.00,Bell Ringer,missing,08
27-2042.00,Bugler,missing,"04,08"
27-2042.00,Bull Fiddle Player,missing,08
27-2042.00,Calliope Player,missing,08
27-2042.00,Cantor,missing,08
27-2042.00,Cellist,missing,"02,04,08"
27-2042.00,Choir Accompanist,missing,08
27-2042.00,Choir Member,missing,"02,04"
27-2042.00,Choir Singer,missing,08
27-2042.00,Chorister,missing,"02,08"
27-2042.00,Church Musician,missing,08
27-2042.00,Church Organist,missing,"04,08"
27-2042.00,Church Pianist,missing,10
27-2042.00,Clarinetist,missing,"02,04,08"
27-2042.00,Collaborative Pianist,missing,10
27-2042.00,Concert Pianist,missing,"04,08"
27-2042.00,Concert Singer,missing,"04,08"
27-2042.00,Cornetist,missing,08
27-2042.00,Country Singer,missing,08
27-2042.00,Double Bass Player,missing,"04,08"
27-2042.00,English Horn Player,missing,"04,08"
27-2042.00,Entertainer,missing,"02,08"
27-2042.00,Entertainment Musician,missing,08
27-2042.00,Flutist,missing,"02,04,08"
27-2042.00,Gospel Singer,missing,02
27-2042.00,Guitar Player,missing,"02,04,08"
27-2042.00,Guitarist,missing,"02,04,08"
27-2042.00,Harpist,missing,"04,08"
27-2042.00,Horn Player,missing,"04,08"
27-2042.00,Instrumentalist,missing,"04,08"
27-2042.00,Jazz Musician,missing,08
27-2042.00,Keyboard Player,missing,10
27-2042.00,Keyboardist,missing,10
27-2042.00,Musical Artist,missing,08
27-2042.00,Musician,missing,"02,04,08"
27-2042.00,Oboist,missing,"02,04,08"
27-2042.00,Opera Singer,missing,"02,04"
27-2042.00,Orchestra Musician,missing,02
27-2042.00,Organist,missing,"04,08"
27-2042.00,Percussionist,missing,"02,04"
27-2042.00,Performer,missing,02
27-2042.00,Pianist,missing,"02,04,08"
27-2042.00,Piano Accompanist,missing,08
27-2042.00,Piano Player,missing,"02,04,08"
27-2042.00,Piccoloist,missing,"04,08"
27-2042.00,Pit Musician,missing,10
27-2042.00,Rap Artist,missing,08
27-2042.00,Rapper,missing,"04,08"
27-2042.00,Recording Artist,missing,08
27-2042.00,Rock Star,missing,08
27-2042.00,Saxophone Player,missing,08
27-2042.00,Singer,missing,02
27-2042.00,Singing Telegram Performer,missing,02
27-2042.00,Solo Musician,missing,08
27-2042.00,Soloist,missing,"02,04,08"
27-2042.00,Songwriter,missing,"02,08"
27-2042.00,Studio Musician,missing,08
27-2042.00,Tenor,missing,"02,04"
27-2042.00,Timpanist,missing,"02,04,08"
27-2042.00,Trombonist,missing,"02,04,08"
27-2042.00,Trumpet Player,missing,"04,08"
27-2042.00,Trumpeter,missing,"04,08"
27-2042.00,Violinist,missing,"02,04,08"
27-2042.00,Violist,missing,"02,04,08"
27-2042.00,Vocal Artist,missing,08
27-2042.00,Vocal Performer,missing,"02,08"
27-2042.00,Vocalist,missing,"02,04"
27-2042.00,Worship Accompanist,missing,08
27-2091.00,Announcer,missing,08
27-2091.00,Club Disc Jockey (Club DJ),Club DJ,"04,08"
27-2091.00,Deejay (DJ),DJ,"04,08"
27-2091.00,Disc Jockey (DJ),DJ,"03,04,08,10"
27-2091.00,DJ (Disk Jockey),DJ,08
27-2091.00,DJ Assistant (Disc Jockey Assistant),DJ Assistant,10
27-2091.00,Emcee,missing,08
27-2091.00,Entertainer,missing,10
27-2091.00,Event Disc Jockey (Event DJ),Event DJ,08
27-2091.00,Event Entertainer,missing,08
27-2091.00,Event Host,missing,08
27-2091.00,Event Master of Ceremonies (Event MC),Event MC,08
27-2091.00,Host DJ (Host Disc Jockey),Host DJ,10
27-2091.00,Karaoke Host,missing,10
27-2091.00,Master of Ceremonies (MC),MC,08
27-2091.00,Mobile Disc Jockey (Mobile DJ),Mobile DJ,08
27-2091.00,Public Address Announcer,missing,10
27-2091.00,Wedding Disc Jockey (Wedding DJ),Wedding DJ,08
27-2099.00,Acrobat,missing,"04,06"
27-2099.00,Aerialist,missing,"04,06"
27-2099.00,Amusement Park Entertainer,missing,"04,06"
27-2099.00,Aquatic Performer,missing,"04,06"
27-2099.00,Astrologer,missing,"04,06,08"
27-2099.00,Bareback Rider,missing,"04,06"
27-2099.00,Baton Twirler,missing,"04,06"
27-2099.00,Cheerleader,missing,09
27-2099.00,Circus Performer,missing,"04,06"
27-2099.00,Circus Rider,missing,"04,06"
27-2099.00,Clairvoyant,missing,"04,06"
27-2099.00,Clown,missing,"04,06"
27-2099.00,Comedian,missing,"04,06"
27-2099.00,Comic,missing,"04,06"
27-2099.00,Continuity Director,missing,04
27-2099.00,Contortionist,missing,"04,06"
27-2099.00,Cowboy,missing,"04,06"
27-2099.00,Craniologist,missing,"04,06"
27-2099.00,Fortune Teller,missing,"04,06"
27-2099.00,Freak,missing,"04,06"
27-2099.00,Handicapper,missing,"04,06"
27-2099.00,Hypnotist,missing,"04,06"
27-2099.00,Impersonator,missing,"04,06"
27-2099.00,Juggler,missing,"04,06"
27-2099.00,Magician,missing,"04,06"
27-2099.00,Marionette Performer,missing,"04,06"
27-2099.00,Mascot,missing,09
27-2099.00,Medium,missing,"04,06"
27-2099.00,Mental Telepathist,missing,"04,06"
27-2099.00,Mesmerist,missing,"04,06"
27-2099.00,Metaphysician,missing,"04,06"
27-2099.00,Mind Reader,missing,"04,06"
27-2099.00,Movie Stunt Performer,missing,09
27-2099.00,Numerologist,missing,"04,06"
27-2099.00,Orator,missing,"04,06"
27-2099.00,Organ Grinder,missing,"04,06"
27-2099.00,Palmist,missing,"04,06"
27-2099.00,Pen Tender,missing,04
27-2099.00,Penman,missing,"04,06"
27-2099.00,Performer,missing,"04,06"
27-2099.00,Phrenologist,missing,"04,06"
27-2099.00,Prestidigitator,missing,"04,06"
27-2099.00,Professional Poker Player,missing,04
27-2099.00,Prompter,missing,"04,06,08"
27-2099.00,Psychic Reader,missing,"04,06,08"
27-2099.00,Puppet Master,missing,"04,06"
27-2099.00,Puppeteer,missing,"04,06"
27-2099.00,Pyrotechnician,missing,09
27-2099.00,Ringmaster,missing,04
27-2099.00,Rodeo Clown,missing,09
27-2099.00,Rodeo Performer,missing,"04,06"
27-2099.00,Rodeo Rider,missing,"04,06"
27-2099.00,Rope Walker,missing,"04,06"
27-2099.00,Show Girl,missing,06
27-2099.00,Show Worker,missing,04
27-2099.00,Showman,missing,"04,06"
27-2099.00,Sky Diver,missing,09
27-2099.00,Skydiver,missing,08
27-2099.00,Spiritualist,missing,"04,06"
27-2099.00,Square Dance Caller,missing,"04,06"
27-2099.00,Stand Up Comedian,missing,09
27-2099.00,Story Teller,missing,"04,06"
27-2099.00,Stunt Man,missing,09
27-2099.00,Stunt Performer,missing,"04,06"
27-2099.00,Stunt Person,missing,09
27-2099.00,Stunt Woman,missing,09
27-2099.00,Stuntman,missing,09
27-2099.00,Trapeze Performer,missing,"04,06"
27-2099.00,Tumbler,missing,"04,06"
27-2099.00,Variety Performer,missing,"04,06"
27-2099.00,Ventriloquist,missing,"04,06"
27-2099.00,Wire Walker,missing,"04,06"
27-3011.00,Anchor,missing,02
27-3011.00,Announcer,missing,"02,10"
27-3011.00,Broadcaster,missing,"02,04,06"
27-3011.00,Commercial Announcer,missing,"04,06"
27-3011.00,DJ (Disc Jockey),DJ,"02,08"
27-3011.00,Entertainer,missing,10
27-3011.00,Game Show Host,missing,04
27-3011.00,Host,missing,"02,06,10"
27-3011.00,Hostess,missing,"06,10"
27-3011.00,Morning News Anchor,missing,02
27-3011.00,Morning Show Host,missing,02
27-3011.00,News Anchor,missing,02
27-3011.00,News Broadcaster,missing,09
27-3011.00,Newscaster,missing,02
27-3011.00,On-Air Announcer,missing,"02,10"
27-3011.00,On-Air Host,missing,02
27-3011.00,On-Air Personality,missing,"02,10"
27-3011.00,On-Air Talent,missing,"02,10"
27-3011.00,Play-by-Play Commentator,missing,10
27-3011.00,Podcaster,missing,10
27-3011.00,Program Host,missing,02
27-3011.00,Public Address Announcer,missing,10
27-3011.00,Radio Announcer,missing,02
27-3011.00,Radio Artist,missing,"04,06"
27-3011.00,Radio Broadcaster,missing,09
27-3011.00,Radio DJ (Radio Disc Jockey),Radio DJ,"04,09"
27-3011.00,Radio DJ (Radio Disk Jockey),Radio DJ,"02,04,06,09"
27-3011.00,Radio Host,missing,"02,04"
27-3011.00,Radio Performer,missing,"04,06"
27-3011.00,Radio Personality,missing,"02,09"
27-3011.00,Radio Sportscaster,missing,"04,06"
27-3011.00,Radio Talk Show Host,missing,"02,08"
27-3011.00,Radio TV Announcer (Radio Television Announcer),Radio TV Announcer,09
27-3011.00,Reporter,missing,02
27-3011.00,Show Host,missing,"04,06"
27-3011.00,Show Hostess,missing,"04,06"
27-3011.00,Sports Analyst,missing,09
27-3011.00,Sports Anchor,missing,02
27-3011.00,Sports Announcer,missing,"04,06"
27-3011.00,Sports Broadcaster,missing,09
27-3011.00,Sports Commentator,missing,09
27-3011.00,Sportscaster,missing,"04,06"
27-3011.00,Talk Show Host,missing,"02,04,09"
27-3011.00,Television Announcer (TV Announcer),TV Announcer,"04,06,09"
27-3011.00,Television Host (TV Host),TV Host,"04,09"
27-3011.00,Television News Anchor (TV News Anchor),TV News Anchor,"02,09"
27-3011.00,Television Specialist (TV Specialist),TV Specialist,10
27-3011.00,TV Reporter (Television Reporter),TV Reporter,02
27-3011.00,Voice-Over Announcer,missing,09
27-3011.00,Weather Anchor,missing,02
27-3011.00,Weather Reporter,missing,09
27-3023.00,Anchor,missing,02
27-3023.00,Anchorman,missing,08
27-3023.00,Art Critic,missing,08
27-3023.00,Basketball Commentator,missing,08
27-3023.00,Blogger,missing,08
27-3023.00,Book Critic,missing,"04,08"
27-3023.00,Book Reviewer,missing,"04,08"
27-3023.00,Breaking News Reporter,missing,10
27-3023.00,Broadcast Journalist,missing,08
27-3023.00,Broadcast Meteorologist,missing,08
27-3023.00,Broadcast News Advisor,missing,08
27-3023.00,Business Reporter,missing,08
27-3023.00,Business Writer,missing,08
27-3023.00,Columnist,missing,"04,08"
27-3023.00,Commentator,missing,08
27-3023.00,Correspondent,missing,"04,08"
27-3023.00,Courtroom Reporter,missing,08
27-3023.00,Critic,missing,08
27-3023.00,Cub Reporter,missing,08
27-3023.00,Data Journalist,missing,10
27-3023.00,Desk Reporter,missing,"04,08"
27-3023.00,Digital Commentator,missing,08
27-3023.00,Digital Reporter,missing,10
27-3023.00,Dramatic Critic,missing,08
27-3023.00,Editorial Writer,missing,08
27-3023.00,Education Reporter,missing,10
27-3023.00,Environmental Journalist,missing,08
27-3023.00,Fashion Journalist,missing,08
27-3023.00,Feature Writer,missing,08
27-3023.00,Film Critic,missing,"04,08"
27-3023.00,Financial Writer,missing,08
27-3023.00,Food Critic,missing,08
27-3023.00,Food Writer,missing,08
27-3023.00,Foreign Correspondent,missing,"04,08"
27-3023.00,General Assignment Reporter,missing,08
27-3023.00,General Assignment Television News Reporter,missing,08
27-3023.00,Headline Writer,missing,08
27-3023.00,Information Writer,missing,08
27-3023.00,Investigative Reporter,missing,"04,08"
27-3023.00,Journalist,missing,"04,08"
27-3023.00,Law Reporter,missing,08
27-3023.00,Leg Man,missing,08
27-3023.00,Magazine Journalist,missing,08
27-3023.00,Magazine Writer,missing,08
27-3023.00,Marine Reporter,missing,08
27-3023.00,Market News Reporter,missing,"04,08"
27-3023.00,Market Reporter,missing,08
27-3023.00,Media Analyst,missing,08
27-3023.00,Morning News Anchor,missing,10
27-3023.00,Motion Picture Critic,missing,08
27-3023.00,Movie Critic,missing,"04,08"
27-3023.00,Multimedia Journalist,missing,08
27-3023.00,Multimedia Reporter,missing,10
27-3023.00,Music Critic,missing,08
27-3023.00,Music Journalist,missing,08
27-3023.00,News Analyst,missing,08
27-3023.00,News Anchor,missing,"02,04"
27-3023.00,News Commentator,missing,"04,08"
27-3023.00,News Correspondent,missing,08
27-3023.00,News Reporter,missing,"02,04"
27-3023.00,News Writer,missing,08
27-3023.00,Newscaster,missing,"04,08"
27-3023.00,Newspaper Columnist,missing,"04,08"
27-3023.00,Newspaper Correspondent,missing,"04,08"
27-3023.00,Newspaper Journalist,missing,08
27-3023.00,Newspaper Reporter,missing,08
27-3023.00,Newspaper Writer,missing,08
27-3023.00,Political Reporter,missing,"04,08"
27-3023.00,Press Writer,missing,"04,08"
27-3023.00,Print Journalist,missing,08
27-3023.00,Radio Commentator,missing,08
27-3023.00,Radio News Anchor,missing,02
27-3023.00,Radio News Writer,missing,08
27-3023.00,Radio Talk Show Host,missing,02
27-3023.00,Reporter,missing,02
27-3023.00,Soccer Commentator,missing,08
27-3023.00,Society Reporter,missing,"04,08"
27-3023.00,Sports Analyst,missing,08
27-3023.00,Sports Anchor,missing,08
27-3023.00,Sports Commentator,missing,08
27-3023.00,Sports Journalist,missing,08
27-3023.00,Sports Reporter,missing,08
27-3023.00,Sports Writer,missing,08
27-3023.00,Staff Reporter,missing,08
27-3023.00,Staff Writer,missing,02
27-3023.00,Television Anchor,missing,08
27-3023.00,Television News Anchor (TV News Anchor),TV News Anchor,02
27-3023.00,Television News Reporter,missing,02
27-3023.00,Television Reporter (TV Reporter),TV Reporter,02
27-3023.00,Traffic Reporter,missing,08
27-3023.00,Travel Journalist,missing,08
27-3023.00,Travel Writer,missing,08
27-3023.00,Volleyball Commentator,missing,08
27-3023.00,Weather Anchor,missing,08
27-3023.00,Weekend Anchor,missing,08
27-3031.00,Audience Coordinator,missing,09
27-3031.00,Brand Advocate,missing,10
27-3031.00,Communication Specialist,missing,"02,10"
27-3031.00,Communications Associate,missing,10
27-3031.00,Communications Coordinator,missing,10
27-3031.00,Communications Specialist,missing,"02,10"
27-3031.00,Community Relations Coordinator,missing,"02,10"
27-3031.00,Concert Promoter,missing,09
27-3031.00,Consumer Advocate,missing,09
27-3031.00,Content Marketing Specialist,missing,10
27-3031.00,Content Specialist,missing,10
27-3031.00,Content Strategist,missing,10
27-3031.00,Corporate Communications Specialist,missing,02
27-3031.00,Customer Specialist,missing,10
27-3031.00,Environmental Communications Specialist,missing,"04,08"
27-3031.00,Event Promoter,missing,09
27-3031.00,Image Consultant,missing,09
27-3031.00,Information and Communications Specialist,missing,02
27-3031.00,Information Specialist,missing,"02,04,06"
27-3031.00,Internal Communications Specialist,missing,10
27-3031.00,Lobbyist,missing,"04,06,08"
27-3031.00,Marketing Communications Coordinator,missing,10
27-3031.00,Marketing Communications Specialist,missing,10
27-3031.00,Marketing Coordinator,missing,"02,03,08"
27-3031.00,Media Buyer,missing,10
27-3031.00,Media Planner,missing,"02,10"
27-3031.00,Media Relations Specialist,missing,"02,04"
27-3031.00,Media Specialist,missing,"02,10"
27-3031.00,Motivational Speaker,missing,08
27-3031.00,Music Publicist,missing,09
27-3031.00,Political Advisor,missing,09
27-3031.00,Political Aide,missing,09
27-3031.00,Press Agent,missing,"02,04,06"
27-3031.00,Press Secretary,missing,"04,06"
27-3031.00,Promotion Specialist,missing,"04,06"
27-3031.00,Public Affairs Officer,missing,"02,04"
27-3031.00,Public Affairs Specialist,missing,"02,10"
27-3031.00,Public Information Officer,missing,02
27-3031.00,Public Information Specialist,missing,02
27-3031.00,Public Relations Consultant (PR Consultant),PR Consultant,"02,04,06"
27-3031.00,Public Relations Coordinator (PR Coordinator),PR Coordinator,"02,09,10"
27-3031.00,Public Relations Counselor (PR Counselor),PR Counselor,"04,06"
27-3031.00,Public Relations Officer (PR Officer),PR Officer,"04,06"
27-3031.00,Public Relations Representative (PR Rep),PR Rep,"04,06"
27-3031.00,Public Relations Specialist (PR Specialist),PR Specialist,"02,10"
27-3031.00,Publicist,missing,"04,06"
27-3031.00,Publicity Agent,missing,"04,06"
27-3031.00,Publicity Consultant,missing,"04,06"
27-3031.00,Publicity Expert,missing,"04,06"
27-3031.00,Publicity Person,missing,"04,06"
27-3031.00,Publicity Writer,missing,"04,06"
27-3031.00,Service Promoter Salesperson,missing,"04,06"
27-3031.00,Speech Writer,missing,09
27-3031.00,Student Ambassador,missing,10
27-3031.00,Sustainability Communicator,missing,08
27-3041.00,Acquisitions Editor,missing,02
27-3041.00,Acute Editor,missing,10
27-3041.00,Advertising Editor,missing,"04,06"
27-3041.00,Art Editor,missing,"04,06"
27-3041.00,Assignment Editor,missing,"02,08,10"
27-3041.00,Book Editor,missing,"04,06,08"
27-3041.00,Business Editor,missing,02
27-3041.00,Censor,missing,"04,06"
27-3041.00,Communications Editor,missing,09
27-3041.00,Content Editor,missing,10
27-3041.00,Continuity Editor,missing,"04,06"
27-3041.00,Continuity Reader,missing,"04,06"
27-3041.00,Copy Reader,missing,04
27-3041.00,Dictionary Editor,missing,08
27-3041.00,Digital Editor,missing,10
27-3041.00,Editor,missing,"02,04,06,08,09,10"
27-3041.00,Editorial Specialist,missing,"04,06"
27-3041.00,Fashion Editor,missing,08
27-3041.00,Features Editor,missing,02
27-3041.00,Food Editor,missing,08
27-3041.00,Greeting Card Editor,missing,08
27-3041.00,Index Editor,missing,"04,06,08"
27-3041.00,Legal Editor,missing,02
27-3041.00,Magazine Editor,missing,"04,06"
27-3041.00,Make Up Editor,missing,"04,06"
27-3041.00,Manuscript Editor,missing,"04,06"
27-3041.00,Manuscript Reader,missing,"04,06"
27-3041.00,Market Editor,missing,"04,06"
27-3041.00,Medical Editor,missing,"04,06"
27-3041.00,News Editor,missing,"02,08,10"
27-3041.00,Newspaper Copy Editor,missing,02
27-3041.00,Newspaper Editor,missing,"04,06"
27-3041.00,Newspaper Managing Editor,missing,08
27-3041.00,Newspaper Photo Editor,missing,04
27-3041.00,Online Content Editor,missing,10
27-3041.00,Opinion Editor,missing,10
27-3041.00,Photo Editor,missing,"02,04,06"
27-3041.00,Play Reader,missing,"04,06"
27-3041.00,Production Editor,missing,"02,09"
27-3041.00,Program Proposals Coordinator,missing,08
27-3041.00,Publication Editor,missing,"04,06"
27-3041.00,Publications Editor,missing,04
27-3041.00,Reader,missing,"04,06"
27-3041.00,Reviewer,missing,"04,06"
27-3041.00,Rewrite Editor,missing,"04,06"
27-3041.00,Science Editor,missing,02
27-3041.00,Scientific Publications Editor,missing,"04,06"
27-3041.00,Script Editor,missing,"04,06"
27-3041.00,Script Reader,missing,"04,06,08"
27-3041.00,Slot Editor,missing,"04,06"
27-3041.00,Society Editor,missing,"04,06"
27-3041.00,Sports Editor,missing,"02,04,06"
27-3041.00,Story Editor,missing,"04,06,08"
27-3041.00,Story Reader,missing,"04,06"
27-3041.00,Technical Editor,missing,"04,06,10"
27-3041.00,Telegraph Editor,missing,"04,06,08"
27-3041.00,Web Editor,missing,02
27-3042.00,Assembly Instructions Writer,missing,"04,06"
27-3042.00,Clinical Writer,missing,10
27-3042.00,Contracts Writer,missing,09
27-3042.00,Document Specialist,missing,"02,08"
27-3042.00,Documentation Designer,missing,02
27-3042.00,Documentation Specialist,missing,02
27-3042.00,Documentation Writer,missing,"04,06"
27-3042.00,Engineering Documentation Specialist,missing,"04,06"
27-3042.00,Engineering Writer,missing,"02,04"
27-3042.00,Grant Writer,missing,"02,08"
27-3042.00,Handbook Writer,missing,"04,06"
27-3042.00,Health Science Writer,missing,"04,06"
27-3042.00,Health Technical Writer,missing,"04,06"
27-3042.00,Information Developer,missing,02
27-3042.00,Lexicographer,missing,09
27-3042.00,Manual Writer,missing,"04,06"
